date,province,subcategory,actual_inflation,svr_prediction,ann_prediction
2026-06-01,SUMATERA SELATAN,Furnitur Perlengkapan dan Karpet,0.0,0.33464950198055554,0.11033756073125828
2026-06-01,SULAWESI SELATAN,Total,0.02,-0.0038994916544883296,-0.013287177376290038
2026-06-01,LAMPUNG,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.21,0.015040704824832218,0.28825763388741643
2026-06-01,PAPUA BARAT DAYA,Total,-0.05,-0.17272922401984125,0.003978330809781022
2026-06-01,GORONTALO,Furnitur Perlengkapan dan Karpet,0.0,-0.1291141378367815,0.2214946027288505
2026-06-01,JAWA TIMUR,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.04,-0.12313186737487491,0.24675147869868433
2026-06-01,DKI JAKARTA,Tekstil Rumah Tangga,0.0,-0.23116872035232383,-0.005816898259027176
2026-06-01,SUMATERA SELATAN,Barang Pecah Belah dan Peralatan Makan Minum,0.0,0.4172499347461862,0.10363886310569956
2026-06-01,SULAWESI SELATAN,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.01,0.23367798216810876,0.06326664654037703
2026-06-01,JAWA TIMUR,Tekstil Rumah Tangga,0.05,-0.28728407031217706,0.003187709486006579
2026-06-01,KALIMANTAN BARAT,Peralatan Rumah Tangga,0.01,-0.12688866162590706,0.15602898514814253
2026-06-01,SULAWESI SELATAN,Furnitur Perlengkapan dan Karpet,0.02,0.19236470415956397,0.06158446714871965
2026-06-01,PAPUA BARAT DAYA,Furnitur Perlengkapan dan Karpet,0.64,0.0777069317515835,0.1474275272721208
2026-06-01,PAPUA BARAT,Tekstil Rumah Tangga,0.0,-0.21369011166678753,0.028696484471500666
2026-06-01,KALIMANTAN BARAT,Furnitur Perlengkapan dan Karpet,0.0,-0.10370289820463974,0.2198111988272091
2026-06-01,JAWA TIMUR,Total,-0.03,-0.22564081840664052,-0.02436284795165819
2026-06-01,SUMATERA SELATAN,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.04,0.3434477349090965,0.10136399397640405
2026-06-01,PAPUA BARAT DAYA,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.23,0.13130944494974095,0.1718547993401399
2026-06-01,BALI,Peralatan dan Perlengkapan Perumahan dan Kebun,1.26,-0.0658589611595577,0.15255521166750477
2026-06-01,KALIMANTAN BARAT,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.1,-0.10825845548010626,0.25541427558214735
2026-06-01,SULAWESI SELATAN,Peralatan Rumah Tangga,0.15,0.1469010792199068,0.03762207255410355
2026-06-01,KALIMANTAN BARAT,Barang Pecah Belah dan Peralatan Makan Minum,0.0,-0.03139164206091927,0.2981002602211468
2026-06-01,PAPUA BARAT DAYA,Barang Pecah Belah dan Peralatan Makan Minum,-0.23,0.21833856761832315,0.18326466923848608
2026-06-01,GORONTALO,Barang Pecah Belah dan Peralatan Makan Minum,0.0,-0.07651844132944241,0.31254507205170123
